# ASD-STE100 Simplified Technical English, Issue 9 (January 2025), Part 2, Dictionary.
# One line per entry, sorted by word. Fields are separated by " | ":
#
#   word (part of speech) | verdict | approved meaning | use instead
#
# The verdict is "approved" or "not approved". A dash means the field does not apply.
# For an approved word, "use instead" gives what to use for its other senses, and is a
# dash when the word carries only the one meaning. For a word that is not approved, the
# field gives the approved words to use, or the standard's guidance where it gives no
# substitute. (TN) marks a technical noun and (TV) a technical verb, which name a
# category for your own terms rather than a specific word.
#
# Look a word up with its trailing space, so the match is the entry and not a mention
# of the word somewhere else:
#
#   grep -i "^work " ste100-words.txt
#
# The full standard, including the writing rules and the example sentences left out
# here, is at https://www.asd-ste100.org/
A (art) | approved | function word: indefinite article | -
abaft (prep) | not approved | - | AFT OF (prep)
abandon (v) | not approved | - | GO (v), STOP (v)
abate (v) | not approved | - | DECREASE (v)
ability (n) | not approved | - | CAN (v)
able (adj) | not approved | - | CAN (v)
abnormal (adj) | not approved | - | UNUSUAL (adj), INCORRECT (adj)
abnormality (n) | not approved | - | DEFECT (TN)
ABOUT (prep) | approved | concerned with | APPROXIMATELY (adv), AROUND (prep)
ABOVE (prep) | approved | in (or to) a position farther up than something | MORE THAN
ABRASIVE (adj) | approved | that can remove material by friction | -
abrupt (adj) | not approved | - | SUDDEN (adj), SUDDENLY (adv)
absence (n) | not approved | - | NONE (pron), NOT (adv), NO (adj)
absent (adj) | not approved | - | MISSING (adj), NO (adj)
absolutely (adv) | not approved | - | FULLY (adv)
ABSORB (v) | approved | to take up or into; to decrease the effect of | -
absorption (n) | not approved | - | ABSORB (v)
abundant (adj) | not approved | - | LARGE (adj)
abut (v) | not approved | - | TOUCH (v)
accelerate (v) | not approved | - | INCREASE (v), FASTER (adj)
ACCEPT (v) | approved | to make a decision that something is satisfactory | -
acceptable (adj) | not approved | - | PERMITTED (adj), SATISFACTORY (adj), SERVICEABLE (adj)
acceptance (n) | not approved | - | ACCEPT (v)
ACCESS (n) | approved | the ability to go into or near | -
accessible (adj) | not approved | - | ACCESS (n)
ACCIDENT (n) | approved | an occurrence that causes injury or damage | -
ACCIDENTAL (adj) | approved | that does not occur on purpose | -
ACCIDENTALLY (adv) | approved | that does not occur on purpose | -
accommodate (v) | not approved | - | LET (v)
accomplish (v) | not approved | - | DO (v), COMPLETE (v)
according to (prep) | not approved | - | REFER (v)
account for (v) | not approved | - | MAKE SURE (v)
accumulate (v) | not approved | - | COLLECT (v)
accumulation (n) | not approved | - | QUANTITY (n), COLLECT (v)
accuracy (n) | not approved | - | PRECISION (n)
ACCURATE (adj) | approved | exact | -
ACCURATELY (adv) | approved | exactly | -
achieve (v) | not approved | - | GET (v)
acquire (v) | not approved | - | GET (v)
acrid (adj) | not approved | - | DANGEROUS (adj)
ACROSS (prep) | approved | from one side to the other side | -
act (v) | not approved | - | Use an accurate verb.
action (n) | not approved | - | STEP (n), PROCEDURE (n), TASK (n)
ACTIVATE (v) | approved | to make a system, function, or feature ready for operation | START (v)
ACTIVE (adj) | approved | a system, function, or feature in a state of action | -
activity (n) | not approved | - | TASK (n), PROCEDURE (n), WORK (n)
actuate (v) | not approved | - | START (v), OPERATE (v), PUSH (v)
actuation (n) | not approved | - | OPERATION (n)
ADAPT (v) | approved | to change or adjust to that which is necessary | -
ADD (v) | approved | to increase the number, dimension, or quantity | -
addition (n) | not approved | - | ADD (v)
additional (adj) | not approved | - | MORE (adj)
adequate (adj) | not approved | - | SUFFICIENT (adj)
